TYPE_K,LOKASI,SALES_TYPE,TUN_LEAS
MIO 125,YMS WAHIDIN 2S,Salesman,TUNAI
MIO 125,YMS 1S MT HARYONO,Sales Channel,TUNAI
MIO 125,YMS 1S MT HARYONO,Sales Channel,TUNAI
FREEGO 125,YMS KALIWUNGU 3S,Counter Sales,TUNAI
FILANO NEO,YMS KALIWUNGU 3S,Counter Sales,TUNAI
NMAX 155 ABS,YMS KALIWUNGU 3S,Counter Sales,TUNAI
NMAX 155 ABS,YMS KALIWUNGU 3S,Counter Sales,TUNAI
NMAX 155,YMS KALIWUNGU 3S,Salesman,TUNAI
NMAX 155 ABS,YMS KALIWUNGU 3S,Counter Sales,TUNAI
NMAX 155 C,YMS KALIWUNGU 3S,Counter Sales,TUNAI
NMAX 155,YMS KALIWUNGU 3S,Salesman,TUNAI
FILANO NEO,YMS KALIWUNGU 3S,Counter Sales,TUNAI
NMAX 155 ABS,YMS KALIWUNGU 3S,Counter Sales,TUNAI
AEROX C CYBERCT,YMS KALIWUNGU 3S,Salesman,TUNAI
NMAX 155,YMS CEPIRING 2S,Salesman,TUNAI
AEROX 155 C,YMS KALIWUNGU 3S,Counter Sales,TUNAI
FAZZIO NEO,YMS SETIABUDI,Counter Sales,TUNAI
NMAX 155 C,YMS SETIABUDI,Salesman,TUNAI
FILANO NEO,YMS SETIABUDI,Counter Sales,TUNAI
NMAX 155 C,YMS SETIABUDI,Counter Sales,TUNAI
YZ125X,YMS SETIABUDI,Salesman,TUNAI
NMAX 155 C,YMS SETIABUDI,Counter Sales,TUNAI
GEAR 125 S,YMS SETIABUDI,Counter Sales,TUNAI
FAZZIO NEO,YMS SETIABUDI,Counter Sales,TUNAI
FAZZIO LUX,YMS SETIABUDI,Salesman,TUNAI
FAZZIO NEO,YMS SETIABUDI,Counter Sales,TUNAI
GEAR 125,YMS SETIABUDI,Counter Sales,TUNAI
AEROX-C ABS,YMS SETIABUDI,Counter Sales,TUNAI
FREEGO 125,YMS SETIABUDI,Counter Sales,TUNAI
FAZZIO LUX,YMS SETIABUDI,Counter Sales,TUNAI
GEAR 125,YMS SETIABUDI,Counter Sales,TUNAI
NMAX 155 C,YMS SETIABUDI,Salesman,TUNAI
NMAX 155,YMS SETIABUDI,Salesman,TUNAI
FAZZIO NEO,YMS SETIABUDI,Counter Sales,TUNAI
GEAR 125,YMS SETIABUDI,Counter Sales,TUNAI
NMAX 155 C,YMS SETIABUDI,Counter Sales,TUNAI
FAZZIO NEO,YMS SETIABUDI,Counter Sales,TUNAI
YZ250X,YMS SETIABUDI,Salesman,TUNAI
JUPITER Z1CWFIN,YMS SETIABUDI,Counter Sales,TUNAI
GEAR 125 S,YMS SETIABUDI,Counter Sales,TUNAI
GEAR 125,YMS SETIABUDI,Salesman,TUNAI
AEROX C CYBERCT,YMS SETIABUDI,Salesman,TUNAI
FAZZIO NEO,YMS SETIABUDI,Counter Sales,TUNAI
FAZZIO NEO,YMS SETIABUDI,Counter Sales,TUNAI
NMAX 155 C,YMS SETIABUDI,Counter Sales,TUNAI
NEW FINO PR 125,YMS SETIABUDI,Counter Sales,TUNAI
FILANO LUX,YMS SETIABUDI,Counter Sales,TUNAI
AEROX 155 C,YMS SETIABUDI,Salesman,TUNAI
YZ250FX,YMS SETIABUDI,Salesman,TUNAI
NMAX 155,YMS SETIABUDI,Counter Sales,TUNAI
YZ125X,YMS SETIABUDI,Salesman,TUNAI
NMAX 155 C,YMS SETIABUDI,Counter Sales,TUNAI
FAZZIO NEO,YMS SETIABUDI,Counter Sales,TUNAI
AEROX 155 C,YMS SETIABUDI,Salesman,TUNAI
